"MetWatch monthly weather data for Kumeu, Auckland"
Month,"Highest Max Temp. (°C)","Mean Max Temp. (°C)","Mean Min Temp. (°C)","Lowest Min Temp. (°C)","Mean Temperature. (°C)","Rainfall (mm)","Backup Data","Missing Data"
January,27.9,23.5,13.1,6.7,18.3,5.2,,
February,30.0,25.9,12.9,7.1,19.4,16.0,,
March,26.6,22.9,10.9,0.0,16.9,67.6,,
April,24.7,21.1,8.8,2.8,15.0,32.0,,
May,21.2,17.8,7.8,-1.5,12.8,85.8,,
June,19.0,16.7,7.1,2.2,11.9,192.4,,
July,17.6,15.1,6.5,-1.1,10.8,52.0,,
August,19.2,16.1,6.9,-2.0,11.5,133.2,,
September,24.9,16.9,7.3,-0.5,12.1,42.6,,
October,24.8,20.2,9.7,1.3,14.9,30.8,,
November,26.3,21.4,11.8,6.0,16.6,134.0,,
December,29.2,22.9,12.2,6.0,17.5,32.8,,
"Information from HortPlus MetWatch www.metwatch.nz"
